STORE_ID,CUSTOMER_ID,STORE_NAME,STORE_ADDRESS,STORE_ZIPCODE,STORE_STATE,STORE_STATE_DESC,STORE_CITY,STORE_COUNTRY,STORE_PHONE,STORE_EMAIL,STORE_WEBSITE,STORE_USER_RATING,STORE_WIFI,STORE_DRIVE_THRU,STORE_SERVICE_CENTER,STORE_SPECIALITY,STORE_SUPER,STORE_LATITUDE,STORE_LONGITUDE
1,1,Old East Cold,11422 Lackland Rd,63146,MO,Missouri,Saint Louis,USA,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,3,0,0,1,0,0,38.6970013,-90.4163171
2,2,West General Summer,550 N 7th Ave,18503,PA,Pennsylvania,Scranton,USA,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,3,1,1,1,0,1,41.4144062,-75.670398
3,3,Modern Old Fall,La Tour,1330,Ain,Ain,Amberieux En Dombes,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,1,0,1,0,0,0,45.9974646,4.9032127
4,4,Design Group Spring,1 Rue Francois Rochaix,1100,Ain,Ain,Arbent,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,4,0,1,0,0,1,46.2750666,5.6592856
5,5,Inc Best North,Avenue Victor Hugo,1100,Ain,Ain,Bellignat,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,4,1,0,1,0,0,46.2502632,5.6363516
6,6,Associates First No.1,Allee Des Grandes Combes,1700,Ain,Ain,Beynost,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,5,0,0,1,1,1,45.8235762,4.9914877
7,7,Urban Fall Modern,Le Village,1330,Ain,Ain,Bouligneux,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,2,0,0,0,0,0,46.0037617,5.031057
8,8,Inc Store Cents,1 Rue Paul Pioda,1000,Ain,Ain,Bourg En Bresse,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,5,1,1,0,0,0,46.2066536,5.2258967
9,9,Main Main Dollar,1 Rue De La Croix Chalon,1460,Ain,Ain,Brion,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,5,0,1,1,0,0,46.7866725,4.8557225
10,10,Cents West Group,550 Rue Jean Mermoz,1500,Ain,Ain,Chateau Gaillard,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,5,1,1,1,0,0,45.976772,5.3192473
11,11,No.1 The Main,1 Route De Contrevoz,1300,Ain,Ain,Chazey Bons,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,4,1,0,0,1,0,45.8031017,5.6809598
12,12,Enterprise South Cents,167 Avenue De Geneve,1220,Ain,Ain,Divonne Les Bains,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,3,1,0,1,1,0,46.3540953,6.1396074
13,13,Inc Modern Cold,Golf De Maison Blanche,1170,Ain,Ain,Echenevex,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,4,1,0,1,1,0,46.3091498,6.0395769
14,14,Inc Lead The,1 Chemin De La Brunette,1210,Ain,Ain,Ferney Voltaire,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,1,0,0,1,0,0,46.2525866,6.1171512
15,15,General Best Urban,Autoroute A 40,1250,Ain,Ain,Jasseron,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,3,1,0,1,0,0,46.2103087,5.2948482
16,16,.com Spring Cents,462 Route De Balan,1120,Ain,Ain,La Boisse,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,4,1,0,1,0,0,45.8373466,5.0568998
17,17,General Associates Spring,Za Lavy,1570,Ain,Ain,Manziat,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,3,0,0,1,0,0,46.3590961,4.9069943
18,18,Spring East Modern,46 Rue De Lyon,1800,Ain,Ain,Meximieux,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,1,0,0,0,1,0,45.9015848,5.1896473
19,19,General Import Hot,Domaine De Beau Logis,1390,Ain,Ain,Mionnay,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,5,0,0,0,0,0,45.8962884,4.9310673
20,20,Summer East Cents,Les Metrillots,1250,Ain,Ain,Montagnat,France,1.888.537.8135,info@microstrategy.com,www.microstrategy.com,5,1,0,1,0,1,46.1649578,5.2687568
